//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	5	0	0	0	0	0	0	0	0	0	255	255	255	255	255	50	604800	// Kris (7 Days)
1000	1001	20	0	0	0	0	0	0	0	0	0	255	255	255	255	255	50	2592000	// Kris (30 Days)
1010	1010	50	0	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Kris (1 UN)
1020	1020	50	1	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Short Sword (1 UN)
1030	1030	50	2	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Rapier (1 UN)
1040	1040	50	3	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Katana (1 UN)
1050	1050	50	4	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Sword of Assassin (1 UN)
1060	1060	70	5	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Blade (1 UN)
1070	1070	70	6	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Gladius (1 UN)
1080	1080	70	7	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Falchion (1 UN)
1090	1090	70	8	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Serpent Sword (1 UN)
1100	1100	50	3072	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Small Shield (1 UN)
1110	1110	50	3073	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Horn Shield (1 UN)
1120	1120	50	3074	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Kite Shield (1 UN)
1130	1130	50	3075	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Elven Shield (1 UN)
1140	1140	50	3076	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Buckler (1 UN)
1150	1150	50	3077	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Dragon Slayer Shield (1 UN)
1160	1160	50	3078	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Skull Shield (1 UN)
1170	1170	50	3079	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Spiked Shield (1 UN)
1180	1180	50	3080	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Tower Shield (1 UN)
1190	1190	70	3081	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Plate Shield (1 UN)
1200	1200	70	3082	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Large Round Shield (1 UN)
1210	1210	70	3083	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Serpent Shield (1 UN)
1220	1220	70	3084	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bronze Shield (1 UN)
1230	1230	70	3085	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Dragon Shield (1 UN)
1240	1240	70	3584	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bronze Helm (1 UN)
1250	1250	70	3585	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Dragon Helm (1 UN)
1260	1260	70	3589	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Leather Helm (1 UN)
1270	1270	70	3590	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Scale Helm (1 UN)
1280	1280	70	3592	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Brass Helm (1 UN)
1290	1290	70	3593	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Plate Helm (1 UN)
1300	1300	70	3586	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Pad Helm (1 UN)
1310	1310	70	3587	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Legendary Helm (1 UN)
1320	1320	70	3588	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bone Helm (1 UN)
1330	1330	70	3594	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Vine Helm (1 UN)
1340	1340	70	3595	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Silk Helm (1 UN)
1350	1350	70	3596	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Wind Helm (1 UN)
1360	1360	70	4096	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bronze Armor (1 UN)
1370	1370	70	4097	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Dragon Armor (1 UN)
1380	1380	70	4101	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Leather Armor (1 UN)
1390	1390	70	4102	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Scale Armor (1 UN)
1400	1400	70	4104	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Brass Armor (1 UN)
1410	1410	70	4105	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Plate Armor (1 UN)
1420	1420	70	4098	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Pad Armor (1 UN)
1430	1430	70	4099	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Legendary Armor (1 UN)
1440	1440	70	4100	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bone Armor (1 UN)
1450	1450	70	4106	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Vine Armor (1 UN)
1460	1460	70	4107	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Silk Armor (1 UN)
1470	1470	70	4108	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Wind Armor (1 UN)
1480	1480	70	4608	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bronze Pants (1 UN)
1490	1490	70	4609	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Dragon Pants (1 UN)
1500	1500	70	4613	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Leather Pants (1 UN)
1510	1510	70	4614	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Scale Pants (1 UN)
1520	1520	70	4616	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Brass Pants (1 UN)
1530	1530	70	4617	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Plate Pants (1 UN)
1540	1540	70	4610	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Pad Pants (1 UN)
1550	1550	70	4611	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Legendary Pants (1 UN)
