00:12:22 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
00:13:02 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
00:20:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
00:21:01 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
00:34:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
00:34:34 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:06:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:07:21 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:07:42 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:10:37 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:28:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:29:04 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:31:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:31:49 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:32:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:35:13 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:36:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:36:50 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:42:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:42:47 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:43:11 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:44:59 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:46:16 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
12:46:33 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:28:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:28:58 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:29:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:30:28 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:30:53 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:31:10 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:31:16 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:31:38 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:34:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:34:47 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:35:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:35:57 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:38:55 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:39:20 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:39:33 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:39:49 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:39:57 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:40:49 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:54:54 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
13:55:24 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:08:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:08:04 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
14:10:28 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
14:10:32 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
