00:04:26 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:08:16 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:34 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:39 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:46 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:49 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:12:19 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:12:48 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:13:23 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:39 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:47 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:15:26 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:05 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:07 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:23 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:25 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:41 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:52 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:17:05 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:17:21 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:17:41 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:17:47 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:18:58 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:00 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:20 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:26 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:32 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:45 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:50 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:04 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:09 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:41 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:22:06 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:22:18 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:22:27 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:22:33 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:03 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:08 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:12 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:28 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:35 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:25:13 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:25:17 [AccountInfo] Account disconnected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
00:25:28 [AccountInfo] Account connected (Account: wall4, IpAddress: 26.89.180.238, GameServerCode: 6)
