00:08:29 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
00:09:35 [AccountInfo] Account disconnected by clear (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
12:44:08 [AccountInfo] Account connected (Account: admin, IpAddress: 179.96.23.42, GameServerCode: 1)
12:47:33 [AccountInfo] Account connected (Account: bitelz, IpAddress: 188.244.28.140, GameServerCode: 1)
12:47:45 [AccountInfo] Account disconnected (Account: bitelz, IpAddress: 188.244.28.140, GameServerCode: 1)
12:48:12 [AccountInfo] Account connected (Account: bitelz, IpAddress: 188.244.28.140, GameServerCode: 1)
13:27:12 [AccountInfo] Account disconnected (Account: bitelz, IpAddress: 188.244.28.140, GameServerCode: 1)
14:11:35 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
14:17:59 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
14:20:03 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
14:37:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.96.23.42, GameServerCode: 1)
18:20:32 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 152.244.46.101, GameServerCode: 1)
19:43:34 [AccountInfo] Account connected (Account: admin, IpAddress: 187.33.220.53, GameServerCode: 1)
19:55:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 187.33.220.53, GameServerCode: 1)
