00:00:25 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
02:41:34 [AccountInfo] Account connected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 21)
02:43:36 [AccountInfo] Account disconnected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 21)
02:45:08 [AccountInfo] Account connected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 21)
02:53:57 [AccountInfo] Account disconnected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 21)
02:54:00 [AccountInfo] Account connected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 40)
02:54:00 [AccountInfo] Account disconnected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 40)
02:54:05 [AccountInfo] Account connected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 6)
02:54:30 [AccountInfo] Account disconnected (Account: pesadelo, IpAddress: 200.150.66.82, GameServerCode: 6)
09:03:27 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
09:03:34 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
09:04:09 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
09:04:15 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
10:18:11 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
11:18:01 [AccountInfo] Account disconnected (Account: dhyan, IpAddress: 187.65.175.202, GameServerCode: 21)
11:32:49 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:33:08 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:35:53 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:39:36 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:41:54 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
13:37:03 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:37:10 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:37:36 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
