00:04:22 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:04:31 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:08:42 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:08:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:10:52 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:11:04 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:12:52 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:13:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:19:04 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:19:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:32:02 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:32:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:34:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:34:19 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:37:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:37:45 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:38:21 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:38:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:39:46 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:39:54 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
00:40:30 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
