07:40:26 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:02:22 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:14:39 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:19:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:19:25 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:43:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:43:32 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:47:14 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:48:11 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:51:27 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:51:58 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:58:14 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:58:53 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
08:59:28 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:00:08 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:00:45 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:01:31 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:04:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:04:54 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:09:41 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:10:14 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:13:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:13:18 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:20:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:24:25 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:29:53 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
09:30:11 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:04:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:04:36 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:06:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:08:05 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:19:45 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:20:07 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:35:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:36:07 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:38:40 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:39:00 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:40:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:40:52 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:43:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:44:11 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:50:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:50:18 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
10:58:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:00:07 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:01:49 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:02:13 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:06:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:07:33 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:15:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:16:51 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:19:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:19:40 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:47:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:48:46 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:55:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
11:55:41 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:11:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:12:33 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:20:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:27:56 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:28:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:29:21 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:35:35 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:36:04 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:50:45 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:51:22 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
13:11:02 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
13:11:42 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
13:12:22 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
13:13:02 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
13:42:39 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.234, GameServerCode: 1)
13:43:15 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.234, GameServerCode: 1)
14:20:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
14:20:58 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.234, GameServerCode: 1)
15:27:03 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.234, GameServerCode: 1)
15:27:20 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.234, GameServerCode: 1)
15:35:51 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
