09:28:20 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:28:31 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:29:58 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:30:09 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:31:18 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:32:28 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:38:33 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 1)
09:38:33 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 1)
09:38:45 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 1)
09:38:45 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 1)
09:38:50 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:39:05 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:48:44 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
09:48:55 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.152, GameServerCode: 0)
