01:01:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
01:01:19 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:46:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.234, GameServerCode: 1)
12:51:15 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
15:06:26 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
16:43:02 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
17:25:38 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
17:25:41 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
17:31:51 [AccountInfo] Account disconnected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
17:32:25 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
21:44:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
21:53:36 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
21:54:52 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:02:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
22:03:26 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
22:07:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
22:07:47 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
22:09:02 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
22:09:18 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
23:45:21 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
23:52:15 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
23:53:30 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
23:55:34 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
23:57:06 [AccountInfo] Account connected (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 1)
