07:39:03 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
07:39:43 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
10:39:50 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
10:39:54 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:40:18 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:40:22 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
10:40:37 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
10:40:41 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
15:59:11 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 40)
15:59:52 [AccountInfo] Account connected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 40)
16:21:36 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
18:14:45 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
18:53:21 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
18:53:35 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
18:53:39 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
18:55:53 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
18:55:59 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
18:59:24 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
19:00:03 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
19:00:25 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
19:00:30 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
19:02:29 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 40)
19:07:48 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:08:02 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:17:40 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:21:25 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:25 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:34 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:34 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:42 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:42 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:21:51 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:22:05 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:22:45 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:31:01 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
19:32:11 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
19:34:18 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:35:01 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:40:01 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:40:49 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:40:49 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 40)
19:40:59 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:41:20 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:42:00 [AccountInfo] Account connected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
19:46:55 [AccountInfo] Account disconnected (Account: de157, IpAddress: 177.124.6.109, GameServerCode: 21)
