11:10:54 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:11:06 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:12:17 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:12:27 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:16:30 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:16:45 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:36:21 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
11:39:51 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:29:32 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:29:49 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:31:03 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:31:41 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:34:13 [AccountInfo] Account connected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
12:34:32 [AccountInfo] Account disconnected (Account: viper, IpAddress: 179.137.142.38, GameServerCode: 6)
20:30:52 [AccountInfo] Account connected (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
20:34:55 [AccountInfo] Account disconnected by clear (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
20:37:11 [AccountInfo] Account connected (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
21:16:26 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
21:20:02 [AccountInfo] Account connected (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
21:20:53 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 45.71.219.135, GameServerCode: 6)
21:43:19 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
21:49:51 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:02:12 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:02:24 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:03:58 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:15:07 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:34:44 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:35:03 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:36:20 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:36:34 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
22:38:24 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:04:03 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:08:02 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:08:16 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:09:52 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:17:39 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:22:00 [AccountInfo] Account connected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
23:22:27 [AccountInfo] Account disconnected (Account: viper, IpAddress: 191.179.69.112, GameServerCode: 6)
