00:13:09 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 1)
00:17:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 1)
00:17:45 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 1)
00:19:12 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 1)
00:19:12 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 1)
00:19:52 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 1)
00:19:52 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 1)
00:20:59 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 1)
00:21:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 1)
00:21:07 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:21:11 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:36:41 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:36:53 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:39:49 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:39:49 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:40:29 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:40:29 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:45:18 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:45:18 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:45:58 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:45:58 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:46:52 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:46:52 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:47:32 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:47:33 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:48:47 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:49:11 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:49:56 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:49:56 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:50:36 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:50:36 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:51:18 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:51:18 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:51:59 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:51:59 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:52:05 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:52:05 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:52:45 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:52:45 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:54:15 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:54:15 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:54:55 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:54:55 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:55:12 [AccountInfo] Account connected (Account: enctype, IpAddress: 179.42.110.231, GameServerCode: 0)
00:56:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:56:13 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:57:43 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:57:43 [AccountInfo] Account disconnected by clear (Account: enctype, IpAddress: 179.42.110.231, GameServerCode: 0)
00:57:43 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:23 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:23 [AccountInfo] Account connected (Account: enctype, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:23 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:28 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:28 [AccountInfo] Account disconnected by clear (Account: enctype, IpAddress: 179.42.110.231, GameServerCode: 0)
00:58:28 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 179.42.110.231, GameServerCode: 0)
00:59:08 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.231, GameServerCode: 0)
