00:07:06 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:08:59 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
01:14:25 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
01:20:24 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:02:41 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:11:09 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:21:39 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:22:43 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:25:59 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:27:30 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:43:30 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:46:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
02:58:51 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
03:01:17 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
03:06:02 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
03:07:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
03:15:37 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
03:17:05 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
