//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          223      0       0     0       0      0        0          
14          224      0       0     0       0      0        0          
14          225      0       0     0       0      0        0          
14          226      0       0     0       0      0        0          
14          227      0       0     0       0      0        0          
14          228      0       0     0       0      0        0          
14          229      0       0     0       0      0        0          

14         212      0       0     0       0      0        0           
14         213      0       0     0       0      0        0           
14         214      0       0     0       0      0        0           

end
